id,name,nationality,sex,dob,height,weight,sport,gold,silver,bronze
491565031,Michael Phelps,USA,male,6/30/1985,1.94,90,aquatics,5,1,0
960103057,Katie Ledecky,USA,female,3/17/1997,1.83,72,aquatics,4,1,0
770111957,Simone Biles,USA,female,3/14/1997,1.45,47,gymnastics,4,0,1
643664378,Katinka Hosszu,HUN,female,5/3/1989,1.75,68,aquatics,3,1,0
552666305,Danuta Kozak,HUN,female,1/11/1987,1.68,63,canoe,3,0,0
441111357,Jason Kenny,GBR,male,3/23/1988,1.78,81,cycling,3,0,0
237391684,Ryan Murphy,USA,male,7/2/1995,1.91,90,aquatics,3,0,0
579416064,Usain Bolt,JAM,male,8/21/1986,1.96,95,athletics,3,0,0
973414226,Simone Manuel,USA,female,8/2/1996,1.78,72,aquatics,2,2,0
37020908,Madeline Dirado,USA,female,4/5/1993,1.76,64,aquatics,2,1,1
629649792,Allyson Felix,USA,female,11/18/1985,1.68,56,athletics,2,1,0
715359899,Elaine Thompson,JAM,female,6/28/1992,1.67,57,athletics,2,1,0
776128059,Nathan Adrian,USA,male,12/7/1988,1.99,102,aquatics,2,0,2
93066253,Max Whitlock,GBR,male,1/13/1993,1.67,56,gymnastics,2,0,1
840071617,Aisen Chen,CHN,male,10/22/1995,1.68,60,aquatics,2,0,0
261223419,Anthony Ervin,USA,male,5/26/1981,1.91,80,aquatics,2,0,0
841861773,Bonchan Ku,KOR,male,1/31/1993,1.81,84,archery,2,0,0
247346852,Caeleb Dressel,USA,male,8/16/1996,1.91,86,aquatics,2,0,0
99788705,Gabriella Szabo,HUN,female,8/14/1986,1.7,62,canoe,2,0,0
887795017,Hyejin Chang,KOR,female,5/13/1987,1.58,50,archery,2,0,0
199243053,Kohei Uchimura,JPN,male,1/2/1989,1.62,52,gymnastics,2,0,0
371337915,Laura Trott,GBR,female,4/24/1992,1.64,56,cycling,2,0,0
461914120,Lilly King,USA,female,2/10/1997,1.76,70,aquatics,2,0,0
736738706,Long Ma,CHN,male,10/20/1988,1.75,72,table tennis,2,0,0
282297654,Marcus Gross,GER,male,9/28/1989,1.82,85,canoe,2,0,0
733043738,Max Rendschmidt,GER,male,12/12/1993,1.86,90,canoe,2,0,0
302433626,Mohamed Farah,GBR,male,3/23/1983,1.75,58,athletics,2,0,0
102725469,Natalia Ishchenko,RUS,female,4/8/1986,1.77,56,aquatics,2,0,0
487583469,Niccolo Campriani,ITA,male,11/6/1987,1.77,80,shooting,2,0,0
844998028,Ning Ding,CHN,female,6/20/1990,1.71,63,table tennis,2,0,0
746518634,Sebastian Brendel,GER,male,3/12/1988,1.92,92,canoe,2,0,0
501420252,Svetlana Romashina,RUS,female,9/21/1989,1.73,55,aquatics,2,0,0
562349871,Tianna Bartoletta,USA,female,8/30/1985,1.68,58,athletics,2,0,0
11288154,Tingmao Shi,CHN,female,8/31/1991,1.59,52,aquatics,2,0,0
